,Date,Open Amazon,Close Amazon,Open MS,Close MS,nasdaq
0,1/2/2019,1465.199951,1539.130005,99.550003,101.120003,8164.112811855769
1,1/3/2019,1520.01001,1500.280029,100.099998,97.400002,8164.112811855769
2,1/4/2019,1530.0,1575.390015,99.720001,101.93,6434.0
3,1/7/2019,1602.310059,1629.51001,101.639999,102.059998,8164.112811855769
4,1/8/2019,1664.689941,1656.579956,103.040001,102.800003,6496.5
5,1/9/2019,1652.97998,1659.420044,103.860001,104.269997,6557.25
6,1/10/2019,1641.01001,1656.219971,103.220001,103.599998,6604.75
7,1/11/2019,1640.550049,1640.560059,103.190002,102.800003,6625.25
8,1/14/2019,1615.0,1617.209961,101.900002,102.050003,6612.75
9,1/15/2019,1632.0,1674.560059,102.510002,105.010002,8164.112811855769
10,1/16/2019,1684.219971,1683.780029,105.260002,105.379997,6545.0
11,1/17/2019,1680.0,1693.219971,105.0,106.120003,6676.75
12,1/18/2019,1712.0,1696.199951,107.459999,107.709999,6666.25
13,1/22/2019,1681.0,1632.170044,106.75,105.68,6720.0
14,1/23/2019,1656.0,1640.02002,106.120003,106.709999,6792.75
15,1/24/2019,1641.069946,1654.930054,106.860001,106.199997,8164.112811855769
16,1/25/2019,1670.5,1670.569946,107.239998,107.16999799999999,6653.0
17,1/28/2019,1643.589966,1637.890015,106.260002,105.08000200000001,6665.25
18,1/29/2019,1631.27002,1593.880005,104.879997,102.940002,6675.0
19,1/30/2019,1623.0,1670.430054,104.620003,106.379997,6791.25
20,1/31/2019,1692.8499760000002,1718.72998,103.800003,104.43,8164.112811855769
21,2/1/2019,1638.880005,1626.22998,103.779999,102.779999,6701.75
22,2/4/2019,1623.0,1633.310059,102.870003,105.739998,6638.75
23,2/5/2019,1643.339966,1658.810059,106.059998,107.220001,6837.25
24,2/6/2019,1670.75,1640.26001,107.0,106.029999,6914.75
25,2/7/2019,1625.0,1614.369995,105.190002,105.269997,6877.75
26,2/8/2019,1586.0,1588.219971,104.389999,105.66999799999999,8164.112811855769
27,2/11/2019,1600.97998,1591.0,106.199997,105.25,6937.5
28,2/12/2019,1604.0,1638.01001,106.139999,106.889999,7008.0
29,2/13/2019,1647.0,1640.0,107.5,106.809998,6995.75
30,2/14/2019,1624.5,1622.650024,106.309998,106.900002,6905.5
31,2/15/2019,1627.859985,1607.949951,107.910004,108.220001,6916.75
32,2/19/2019,1601.0,1627.579956,107.790001,108.16999799999999,8164.112811855769
33,2/20/2019,1630.0,1622.099976,107.860001,107.150002,6914.25
34,2/21/2019,1619.849976,1619.439941,106.900002,109.410004,7018.5
35,2/22/2019,1623.5,1631.560059,110.050003,110.970001,7016.25
36,2/25/2019,1641.449951,1633.0,111.760002,111.589996,7019.75
37,2/26/2019,1625.97998,1636.400024,111.260002,112.360001,7063.75
38,2/27/2019,1628.180054,1641.089966,111.690002,112.16999799999999,8164.112811855769
39,2/28/2019,1635.25,1639.829956,112.040001,112.029999,7068.25
40,3/1/2019,1655.130005,1671.72998,112.889999,112.529999,7073.25
41,3/4/2019,1685.0,1696.1700440000002,113.019997,112.260002,7034.5
42,3/5/2019,1702.949951,1692.430054,112.25,111.699997,7088.25
43,3/6/2019,1695.969971,1668.949951,111.870003,111.75,8164.112811855769
44,3/7/2019,1667.369995,1625.949951,111.400002,110.389999,7125.75
45,3/8/2019,1604.01001,1620.800049,109.160004,110.510002,7117.75
46,3/11/2019,1626.119995,1670.619995,110.989998,112.83000200000001,7121.75
47,3/12/2019,1669.0,1673.099976,112.82,113.620003,7102.5
48,3/13/2019,1683.0,1690.810059,114.129997,114.5,7156.0
49,3/14/2019,1691.199951,1686.219971,114.540001,114.589996,8164.112811855769
50,3/15/2019,1703.0,1712.359985,115.339996,115.910004,7145.75
51,3/18/2019,1712.699951,1742.1500239999998,116.16999799999999,117.57,7165.5
52,3/19/2019,1753.5100100000002,1761.8499760000002,118.089996,117.650002,7111.25
53,3/20/2019,1769.939941,1797.27002,117.389999,117.519997,7027.5
54,3/21/2019,1796.2600100000002,1819.2600100000002,117.139999,120.220001,7026.75
