Date,Open Amazon,Close Amazon,Open MS,Close MS,nasdaq
1/2/2019,1465.199951,1539.130005,99.550003,101.120003,null
1/3/2019,1520.01001,1500.280029,100.099998,97.400002,null
1/4/2019,1530,1575.390015,99.720001,101.93,6434
1/7/2019,1602.310059,1629.51001,101.639999,102.059998,null
1/8/2019,1664.689941,1656.579956,103.040001,102.800003,6496.5
1/9/2019,1652.97998,1659.420044,103.860001,104.269997,6557.25
1/10/2019,1641.01001,1656.219971,103.220001,103.599998,6604.75
1/11/2019,1640.550049,1640.560059,103.190002,102.800003,6625.25
1/14/2019,1615,1617.209961,101.900002,102.050003,6612.75
1/15/2019,1632,1674.560059,102.510002,105.010002,null
1/16/2019,1684.219971,1683.780029,105.260002,105.379997,6545
1/17/2019,1680,1693.219971,105,106.120003,6676.75
1/18/2019,1712,1696.199951,107.459999,107.709999,6666.25
1/22/2019,1681,1632.170044,106.75,105.68,6720
1/23/2019,1656,1640.02002,106.120003,106.709999,6792.75
1/24/2019,1641.069946,1654.930054,106.860001,106.199997,null
1/25/2019,1670.5,1670.569946,107.239998,107.169998,6653
1/28/2019,1643.589966,1637.890015,106.260002,105.080002,6665.25
1/29/2019,1631.27002,1593.880005,104.879997,102.940002,6675
1/30/2019,1623,1670.430054,104.620003,106.379997,6791.25
1/31/2019,1692.849976,1718.72998,103.800003,104.43,null
2/1/2019,1638.880005,1626.22998,103.779999,102.779999,6701.75
2/4/2019,1623,1633.310059,102.870003,105.739998,6638.75
2/5/2019,1643.339966,1658.810059,106.059998,107.220001,6837.25
2/6/2019,1670.75,1640.26001,107,106.029999,6914.75
2/7/2019,1625,1614.369995,105.190002,105.269997,6877.75
2/8/2019,1586,1588.219971,104.389999,105.669998,null
2/11/2019,1600.97998,1591,106.199997,105.25,6937.5
2/12/2019,1604,1638.01001,106.139999,106.889999,7008
2/13/2019,1647,1640,107.5,106.809998,6995.75
2/14/2019,1624.5,1622.650024,106.309998,106.900002,6905.5
2/15/2019,1627.859985,1607.949951,107.910004,108.220001,6916.75
2/19/2019,1601,1627.579956,107.790001,108.169998,null
2/20/2019,1630,1622.099976,107.860001,107.150002,6914.25
2/21/2019,1619.849976,1619.439941,106.900002,109.410004,7018.5
2/22/2019,1623.5,1631.560059,110.050003,110.970001,7016.25
2/25/2019,1641.449951,1633,111.760002,111.589996,7019.75
2/26/2019,1625.97998,1636.400024,111.260002,112.360001,7063.75
2/27/2019,1628.180054,1641.089966,111.690002,112.169998,null
2/28/2019,1635.25,1639.829956,112.040001,112.029999,7068.25
3/1/2019,1655.130005,1671.72998,112.889999,112.529999,7073.25
3/4/2019,1685,1696.170044,113.019997,112.260002,7034.5
3/5/2019,1702.949951,1692.430054,112.25,111.699997,7088.25
3/6/2019,1695.969971,1668.949951,111.870003,111.75,null
3/7/2019,1667.369995,1625.949951,111.400002,110.389999,7125.75
3/8/2019,1604.01001,1620.800049,109.160004,110.510002,7117.75
3/11/2019,1626.119995,1670.619995,110.989998,112.830002,7121.75
3/12/2019,1669,1673.099976,112.82,113.620003,7102.5
3/13/2019,1683,1690.810059,114.129997,114.5,7156
3/14/2019,1691.199951,1686.219971,114.540001,114.589996,null
3/15/2019,1703,1712.359985,115.339996,115.910004,7145.75
3/18/2019,1712.699951,1742.150024,116.169998,117.57,7165.5
3/19/2019,1753.51001,1761.849976,118.089996,117.650002,7111.25
3/20/2019,1769.939941,1797.27002,117.389999,117.519997,7027.5
3/21/2019,1796.26001,1819.26001,117.139999,120.220001,7026.75
3/22/2019,1810.170044,1764.77002,119.5,117.050003,null
3/25/2019,1757.790039,1774.26001,116.559998,117.660004,7164.75
3/26/2019,1793,1783.76001,118.620003,117.910004,7206.5
3/27/2019,1784.130005,1765.699951,117.879997,116.769997,7267.75
3/28/2019,1770,1773.420044,117.440002,116.93,7239.75
3/29/2019,1786.579956,1780.75,118.07,117.940002,7270.350098
4/1/2019,1800.109985,1814.189941,118.949997,119.019997,null
4/2/2019,1811.02002,1813.97998,119.059998,119.190002,7360.75
4/3/2019,1826.719971,1820.699951,119.860001,119.970001,7376.5
4/4/2019,1820.650024,1818.859985,120.099998,119.360001,7409.5
4/5/2019,1829,1837.280029,119.389999,119.889999,7534.5
4/8/2019,1833.22998,1849.859985,119.809998,119.93,7368.75
4/9/2019,1845.48999,1835.839966,118.629997,119.279999,null
4/10/2019,1841,1847.329956,119.760002,120.190002,7355.25
4/11/2019,1848.699951,1844.069946,120.540001,120.330002,7376.75
4/12/2019,1848.400024,1843.060059,120.639999,120.949997,7334.5
4/15/2019,1842,1844.869995,120.940002,121.050003,7352
4/16/2019,1851.349976,1863.040039,121.639999,120.769997,7400.5
4/17/2019,1872.98999,1864.819946,121.239998,121.769997,null
